root	mode	first_line
package:cmd/compile	interpreted	src/cmd/compile/main.go:8:2: could not import cmd/compile/internal/amd64 (use of internal package cmd/compile/internal/amd64 not allowed)
package:cmd/compile	compiled	src/cmd/compile/main.go:8:2: could not import cmd/compile/internal/amd64 (use of internal package cmd/compile/internal/amd64 not allowed)
package:cmd/compile/internal/amd64	interpreted	src/cmd/compile/internal/amd64/galign.go:8:2: could not import cmd/compile/internal/ssagen (use of internal package cmd/compile/internal/ssagen not allowed)
package:cmd/compile/internal/amd64	compiled	src/cmd/compile/internal/amd64/galign.go:8:2: could not import cmd/compile/internal/ssagen (use of internal package cmd/compile/internal/ssagen not allowed)
package:cmd/compile/internal/base	interpreted	src/cmd/compile/internal/base/flag.go:8:2: could not import cmd/internal/cov/covcmd (use of internal package cmd/internal/cov/covcmd not allowed)
package:cmd/compile/internal/base	compiled	src/cmd/compile/internal/base/flag.go:8:2: could not import cmd/internal/cov/covcmd (use of internal package cmd/internal/cov/covcmd not allowed)
package:cmd/compile/internal/compare	interpreted	src/cmd/compile/internal/compare/compare.go:10:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/compare	compiled	src/cmd/compile/internal/compare/compare.go:10:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/devirtualize	interpreted	src/cmd/compile/internal/devirtualize/devirtualize.go:15:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/devirtualize	compiled	src/cmd/compile/internal/devirtualize/devirtualize.go:15:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/dwarfgen	interpreted	src/cmd/compile/internal/dwarfgen/dwarf.go:11:2: could not import internal/buildcfg (use of internal package internal/buildcfg not allowed)
package:cmd/compile/internal/dwarfgen	compiled	src/cmd/compile/internal/dwarfgen/dwarf.go:11:2: could not import internal/buildcfg (use of internal package internal/buildcfg not allowed)
package:cmd/compile/internal/importer	interpreted	src/cmd/compile/internal/importer/gcimporter.go:12:2: could not import internal/exportdata (use of internal package internal/exportdata not allowed)
package:cmd/compile/internal/importer	compiled	src/cmd/compile/internal/importer/gcimporter.go:12:2: could not import internal/exportdata (use of internal package internal/exportdata not allowed)
package:cmd/compile/internal/inline/inlheur	interpreted	src/cmd/compile/internal/inline/inlheur/analyze.go:8:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/inline/inlheur	compiled	src/cmd/compile/internal/inline/inlheur/analyze.go:8:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/ir	interpreted	src/cmd/compile/internal/ir/abi.go:8:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/ir	compiled	src/cmd/compile/internal/ir/abi.go:8:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/liveness	interpreted	src/cmd/compile/internal/liveness/arg.go:9:2: could not import internal/abi (use of internal package internal/abi not allowed)
package:cmd/compile/internal/liveness	compiled	src/cmd/compile/internal/liveness/arg.go:9:2: could not import internal/abi (use of internal package internal/abi not allowed)
package:cmd/compile/internal/logopt	interpreted	src/cmd/compile/internal/logopt/log_opts.go:8:2: could not import cmd/internal/obj (use of internal package cmd/internal/obj not allowed)
package:cmd/compile/internal/logopt	compiled	src/cmd/compile/internal/logopt/log_opts.go:8:2: could not import cmd/internal/obj (use of internal package cmd/internal/obj not allowed)
package:cmd/compile/internal/loopvar	interpreted	src/cmd/compile/internal/loopvar/loopvar.go:10:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/loopvar	compiled	src/cmd/compile/internal/loopvar/loopvar.go:10:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/noder	interpreted	src/cmd/compile/internal/noder/codes.go:7:8: could not import internal/pkgbits (use of internal package internal/pkgbits not allowed)
package:cmd/compile/internal/noder	compiled	src/cmd/compile/internal/noder/codes.go:7:8: could not import internal/pkgbits (use of internal package internal/pkgbits not allowed)
package:cmd/compile/internal/rangefunc	interpreted	src/cmd/compile/internal/rangefunc/rewrite.go:532:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/rangefunc	compiled	src/cmd/compile/internal/rangefunc/rewrite.go:532:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/reflectdata	interpreted	src/cmd/compile/internal/reflectdata/alg.go:13:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/reflectdata	compiled	src/cmd/compile/internal/reflectdata/alg.go:13:2: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/ssagen	interpreted	src/cmd/compile/internal/ssagen/abi.go:9:2: could not import internal/buildcfg (use of internal package internal/buildcfg not allowed)
package:cmd/compile/internal/ssagen	compiled	src/cmd/compile/internal/ssagen/abi.go:9:2: could not import internal/buildcfg (use of internal package internal/buildcfg not allowed)
package:cmd/compile/internal/syntax	interpreted	src/cmd/compile/internal/syntax/error_test.go:34:2: could not import internal/testenv (use of internal package internal/testenv not allowed)
package:cmd/compile/internal/syntax	compiled	src/cmd/compile/internal/syntax/error_test.go:34:2: could not import internal/testenv (use of internal package internal/testenv not allowed)
package:cmd/compile/internal/test	interpreted	src/cmd/compile/internal/test/abiutils_test.go:9:2: could not import cmd/compile/internal/abi (use of internal package cmd/compile/internal/abi not allowed)
package:cmd/compile/internal/test	compiled	src/cmd/compile/internal/test/abiutils_test.go:9:2: could not import cmd/compile/internal/abi (use of internal package cmd/compile/internal/abi not allowed)
package:cmd/compile/internal/typecheck	interpreted	src/cmd/compile/internal/typecheck/builtin.go:6:2: could not import cmd/compile/internal/types (use of internal package cmd/compile/internal/types not allowed)
package:cmd/compile/internal/typecheck	compiled	src/cmd/compile/internal/typecheck/builtin.go:6:2: could not import cmd/compile/internal/types (use of internal package cmd/compile/internal/types not allowed)
package:cmd/compile/internal/types	interpreted	src/cmd/compile/internal/types/alg.go:7:8: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/types	compiled	src/cmd/compile/internal/types/alg.go:7:8: could not import cmd/compile/internal/base (use of internal package cmd/compile/internal/base not allowed)
package:cmd/compile/internal/types2	interpreted	src/cmd/compile/internal/types2/alias.go:8:2: could not import cmd/compile/internal/syntax (use of internal package cmd/compile/internal/syntax not allowed)
package:cmd/compile/internal/types2	compiled	src/cmd/compile/internal/types2/alias.go:8:2: could not import cmd/compile/internal/syntax (use of internal package cmd/compile/internal/syntax not allowed)
package:cmd/internal/testdir	interpreted	src/cmd/internal/testdir/testdir_test.go:17:2: could not import internal/testenv (use of internal package internal/testenv not allowed)
package:cmd/internal/testdir	compiled	src/cmd/internal/testdir/testdir_test.go:17:2: could not import internal/testenv (use of internal package internal/testenv not allowed)
package:go/types	interpreted	src/go/types/api.go:43:4: could not import internal/types/errors (use of internal package internal/types/errors not allowed)
package:go/types	compiled	src/go/types/api.go:43:4: could not import internal/types/errors (use of internal package internal/types/errors not allowed)
package:internal/types/errors	interpreted	src/internal/types/errors/codes_test.go:14:2: could not import internal/testenv (use of internal package internal/testenv not allowed)
package:internal/types/errors	compiled	src/internal/types/errors/codes_test.go:14:2: could not import internal/testenv (use of internal package internal/testenv not allowed)
testdir:235.go	interpreted	BASHPP-EBUILTIN-TYPE: make type must be a slice or map
testdir:abi/fuzz_trailing_zero_field.go	interpreted	BASHPP-ECOLLECTION-ELEMENT: cannot use string value as complex128
testdir:abi/leaf2.go	interpreted	abi/leaf2.go:39:6: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPCompositeLit
testdir:abi/map.go	interpreted	abi/map.go:13:1: BASHPP-ECOLLECTION-KEY: unsupported map key type *T
testdir:abi/part_live.go	interpreted	abi/part_live.go:34:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:abi/part_live_2.go	interpreted	abi/part_live_2.go:39:34: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:abi/spills3.go	interpreted	abi/spills3.go:44:5: BASHPP-EEXPR-OPERAND: z is not a scalar
testdir:abi/spills4.go	interpreted	abi/spills4.go:40:6: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPCompositeLit
testdir:append.go	interpreted	append.go:40:13: BASHPP-EEXPR-UNDEFINED: undefined callable append
